Country Code,Country Name,Year,GDP Growth,Investment,Productivity Growth,Potential_Outlier
ALB,Albania,2000,7.46285871776054,34.0401392244169,6.64,False
ALB,Albania,2001,8.8637306604876,38.2280453184166,8.29,True
ALB,Albania,2002,4.62839587394552,38.5753358181086,4.59,True
ALB,Albania,2003,5.33326426009945,36.7221284326025,4.84,True
ALB,Albania,2004,5.26626173860785,36.3319472329288,4.94,True
ALB,Albania,2005,5.13082193056189,38.3843892451909,5.43,True
ALB,Albania,2006,6.0189812403864,37.3389564722485,5.57,True
ALB,Albania,2007,6.50009261158209,35.6688758642439,5.54,True
ALB,Albania,2008,6.90706230713707,33.3056707670518,11.95,True
ALB,Albania,2009,2.69075152362146,32.4404588015772,9.88,True
ALB,Albania,2010,2.97315442681247,32.4926226328977,3.81,False
ALB,Albania,2011,2.46351683915714,33.8376091539876,0.21,False
ALB,Albania,2012,0.984129880204108,29.7150278852687,-2.18,False
ALB,Albania,2013,1.7072283175406,29.0566378899977,5.66,False
ALB,Albania,2014,2.24022695382642,28.3047822758213,0.86,False
ALB,Albania,2015,2.2277040745779,27.8134648405134,-2.76,False
ALB,Albania,2016,3.90893551362245,26.814346013014,-3.64,False
ALB,Albania,2017,3.28317593330073,27.657593194662,-1.21,False
ALB,Albania,2018,3.67141928098908,27.1252994132038,0.3,False
AUT,Austria,2000,3.18952292988787,25.9400787116929,2.41,False
AUT,Austria,2001,1.31698749571339,25.4261245518381,0.54,False
AUT,Austria,2002,1.48436877605324,23.7779667439374,1.75,False
AUT,Austria,2003,1.14156504542775,24.4562050749722,0.29,False
AUT,Austria,2004,2.56525534067859,24.2036725711211,2.1,False
AUT,Austria,2005,2.32036514266782,23.9653234755669,1.03,False
AUT,Austria,2006,3.26933601506059,23.8292704822076,1.67,False
AUT,Austria,2007,3.77522468729185,24.7335259294195,1.87,False
AUT,Austria,2008,1.45330562142114,24.7047623915806,-0.44,False
AUT,Austria,2009,-3.58626472551299,23.0148012049122,-3.25,False
AUT,Austria,2010,1.80898243043663,22.8592812354211,1.07,False
AUT,Austria,2011,2.92746800169145,24.3521600435893,1.35,False
AUT,Austria,2012,0.628246239479637,24.2558827220405,-0.35,False
AUT,Austria,2013,-0.250726423318454,23.9413047862951,-0.32,False
AUT,Austria,2014,0.755798850316665,23.848669034824,-0.29,False
AUT,Austria,2015,1.30352331826198,24.012126686949,0.41,False
AUT,Austria,2016,2.11721964494312,24.4571707244108,0.78,False
AUT,Austria,2017,2.27224992038207,24.9780618382281,0.77,False
AUT,Austria,2018,2.48422114080024,25.8982762235252,0.71,False
BLR,Belarus,2000,5.80000327485702,25.3986730605006,5.77,False
BLR,Belarus,2001,4.72530605111095,23.7608599445648,5.24,False
