Country Name,Country Code,Year,GDP Growth,Investment,Education Expenditure,Productivity Growth
Albania,ALB,1960,,,,
Albania,ALB,1961,,,,
Albania,ALB,1962,,,,
Albania,ALB,1963,,,,
Albania,ALB,1964,,,,
Albania,ALB,1965,,,,
Albania,ALB,1966,,,,
Albania,ALB,1967,,,,
Albania,ALB,1968,,,,
Albania,ALB,1969,,,,
Albania,ALB,1970,,,,
Albania,ALB,1971,,,,
Albania,ALB,1972,,,,
Albania,ALB,1973,,,,
Albania,ALB,1974,,,,
Albania,ALB,1975,,,,
Albania,ALB,1976,,,,
Albania,ALB,1977,,,,
Albania,ALB,1978,,,,
Albania,ALB,1979,,,,
Albania,ALB,1980,,35.805834723522,,0.21
Albania,ALB,1981,5.74563529228132,36.3861156517659,,2.19
Albania,ALB,1982,2.94859680118944,39.2829001338862,,-1.71
Albania,ALB,1983,1.10493826195055,37.373346292896,,-1.8
Albania,ALB,1984,-1.25159664405811,32.9255350791543,,-3.34
Albania,ALB,1985,1.78064395924895,33.9319591391124,,0.29
Albania,ALB,1986,5.63724317852117,32.0348354243886,,2.25
Albania,ALB,1987,-0.787842654927232,29.4538695223043,,-3.66
Albania,ALB,1988,-1.42003965566396,29.957542067619,,-3.1
Albania,ALB,1989,9.8365489718722,32.8770715994479,,7.84
Albania,ALB,1990,-9.57564016993408,30.360946807547,,-9.95
Albania,ALB,1991,-28.0021416538074,7.60311109567282,,-26.32
Albania,ALB,1992,-7.18711090964234,5.65668410228241,,19.03
Albania,ALB,1993,9.55941167111243,13.6761374504386,,14.68
Albania,ALB,1994,8.30286659699082,18.8965848987739,3.44697999954224,-2.48
Albania,ALB,1995,13.3223333268813,16.4271239839877,3.14191007614136,15.68
Albania,ALB,1996,7.33632894771891,21.1475152669262,3.05029988288879,11.26
Albania,ALB,1997,-11.7115732812278,19.7587807672594,3.3276801109314,-10.27
Albania,ALB,1998,8.3100252038309,22.7895725962923,3.46300005912781,11.09
Albania,ALB,1999,12.2507281968475,24.2715109633495,3.51434993743896,15.01
Albania,ALB,2000,7.46285871776054,34.0401392244169,3.3304500579834,6.64
Albania,ALB,2001,8.8637306604876,38.2280453184166,3.34198999404907,8.29
Albania,ALB,2002,4.62839587394552,38.5753358181086,3.00253009796143,4.59
Albania,ALB,2003,5.33326426009945,36.7221284326025,3.03534007072449,4.84
Albania,ALB,2004,5.26626173860785,36.3319472329288,3.1308000087738,4.94
Albania,ALB,2005,5.13082193056189,38.3843892451909,3.20023989677429,5.43
Albania,ALB,2006,6.0189812403864,37.3389564722485,3.10271000862122,5.57
Albania,ALB,2007,6.50009261158209,35.6688758642439,3.14638996124268,5.54
Albania,ALB,2008,6.90706230713707,33.3056707670518,,11.95
Albania,ALB,2009,2.69075152362146,32.4404588015772,,9.88
Albania,ALB,2010,2.97315442681247,32.4926226328977,,3.81
Albania,ALB,2011,2.46351683915714,33.8376091539876,3.17881310743026,0.21
Albania,ALB,2012,0.984129880204108,29.7150278852687,3.29533986928598,-2.18
Albania,ALB,2013,1.7072283175406,29.0566378899977,3.53355002403259,5.66
Albania,ALB,2014,2.24022695382642,28.3047822758213,3.18177734553254,0.86
Albania,ALB,2015,2.2277040745779,27.8134648405134,3.41300010681152,-2.76
Albania,ALB,2016,3.90893551362245,26.814346013014,3.91997003555298,-3.64
Albania,ALB,2017,3.28317593330073,27.657593194662,3.54673004150391,-1.21
Albania,ALB,2018,3.67141928098908,27.1252994132038,3.08201370407389,0.3
Andorra,AND,1960,,,,
Andorra,AND,1961,,,,
Andorra,AND,1962,,,,
Andorra,AND,1963,,,,
Andorra,AND,1964,,,,
Andorra,AND,1965,,,,
Andorra,AND,1966,,,,
Andorra,AND,1967,,,,
Andorra,AND,1968,,,,
Andorra,AND,1969,,,,
Andorra,AND,1970,,,,
Andorra,AND,1971,4.64946535556467,,,
Andorra,AND,1972,8.14974352749283,,,
Andorra,AND,1973,7.78846724532318,,,
Andorra,AND,1974,5.61878962739297,,,
Andorra,AND,1975,0.54220566972954,,,
Andorra,AND,1976,3.30378705328451,,,
Andorra,AND,1977,2.83857556906837,,,
Andorra,AND,1978,1.46300016981581,,,
Andorra,AND,1979,0.0415572233591206,,,
Andorra,AND,1980,2.20872761148199,,,
Andorra,AND,1981,-0.132474492519691,,,
Andorra,AND,1982,1.2464611381716,,,
Andorra,AND,1983,1.77011827083456,,,
Andorra,AND,1984,1.7846866722919,,,
Andorra,AND,1985,2.32143303428465,,,
Andorra,AND,1986,3.25332182847531,,,
Andorra,AND,1987,5.54712216113352,,,
Andorra,AND,1988,5.09432619448408,,,
Andorra,AND,1989,4.82703427244309,,,
Andorra,AND,1990,3.78138754899436,,,
Andorra,AND,1991,2.54600353080194,,,
Andorra,AND,1992,0.929214040125956,,,
Andorra,AND,1993,-1.03148438999895,,,
Andorra,AND,1994,2.3831822482118,,,
Andorra,AND,1995,2.75750161326249,,,
Andorra,AND,1996,4.64973866754707,,,
Andorra,AND,1997,9.06767205144135,,3.71327996253967,
Andorra,AND,1998,3.19479339289236,,,
Andorra,AND,1999,4.0990789217793,,,
Andorra,AND,2000,3.52836236122388,,,
Andorra,AND,2001,8.11935772169949,,,
Andorra,AND,2002,4.54636221364653,,1.65971004962921,
Andorra,AND,2003,8.69420371612468,,,
Andorra,AND,2004,8.13567633837351,,1.54411995410919,
