Country Code,Country Name,Year,GDP Growth,Investment,Education Expenditure,Productivity Growth
ALB,Albania,2000,7.46285871776054,34.0401392244169,3.3304500579834,6.64
ALB,Albania,2001,8.8637306604876,38.2280453184166,3.34198999404907,8.29
ALB,Albania,2002,4.62839587394552,38.5753358181086,3.00253009796143,4.59
ALB,Albania,2003,5.33326426009945,36.7221284326025,3.03534007072449,4.84
ALB,Albania,2004,5.26626173860785,36.3319472329288,3.1308000087738,4.94
ALB,Albania,2005,5.13082193056189,38.3843892451909,3.20023989677429,5.43
ALB,Albania,2006,6.0189812403864,37.3389564722485,3.10271000862122,5.57
ALB,Albania,2007,6.50009261158209,35.6688758642439,3.14638996124268,5.54
ALB,Albania,2011,2.46351683915714,33.8376091539876,3.17881310743026,0.21
ALB,Albania,2012,0.984129880204108,29.7150278852687,3.29533986928598,-2.18
ALB,Albania,2013,1.7072283175406,29.0566378899977,3.53355002403259,5.66
ALB,Albania,2014,2.24022695382642,28.3047822758213,3.18177734553254,0.86
ALB,Albania,2015,2.2277040745779,27.8134648405134,3.41300010681152,-2.76
ALB,Albania,2016,3.90893551362245,26.814346013014,3.91997003555298,-3.64
ALB,Albania,2017,3.28317593330073,27.657593194662,3.54673004150391,-1.21
ALB,Albania,2018,3.67141928098908,27.1252994132038,3.08201370407389,0.3
AUT,Austria,2000,3.18952292988787,25.9400787116929,5.62036991119385,2.41
AUT,Austria,2001,1.31698749571339,25.4261245518381,5.60476016998291,0.54
AUT,Austria,2002,1.48436877605324,23.7779667439374,5.56255006790161,1.75
AUT,Austria,2003,1.14156504542775,24.4562050749722,5.39253997802734,0.29
AUT,Austria,2004,2.56525534067859,24.2036725711211,5.34223985671997,2.1
AUT,Austria,2005,2.32036514266782,23.9653234755669,5.28515005111694,1.03
AUT,Austria,2006,3.26933601506059,23.8292704822076,5.26367998123169,1.67
AUT,Austria,2007,3.77522468729185,24.7335259294195,5.17918014526367,1.87
AUT,Austria,2008,1.45330562142114,24.7047623915806,5.2985200881958,-0.44
AUT,Austria,2009,-3.58626472551299,23.0148012049122,5.76567983627319,-3.25
AUT,Austria,2010,1.80898243043663,22.8592812354211,5.73625993728638,1.07
AUT,Austria,2011,2.92746800169145,24.3521600435893,5.62787008285522,1.35
AUT,Austria,2012,0.628246239479637,24.2558827220405,5.51612997055054,-0.35
AUT,Austria,2013,-0.250726423318454,23.9413047862951,5.59404993057251,-0.32
AUT,Austria,2014,0.755798850316665,23.848669034824,5.49767017364502,-0.29
AUT,Austria,2015,1.30352331826198,24.012126686949,5.49143981933594,0.41
AUT,Austria,2016,2.11721964494312,24.4571707244108,5.50954008102417,0.78
AUT,Austria,2017,2.27224992038207,24.9780618382281,5.40181016921997,0.77
AUT,Austria,2018,2.48422114080024,25.8982762235252,5.25437021255493,0.71
BLR,Belarus,2000,5.80000327485702,25.3986730605006,6.19661998748779,5.77
BLR,Belarus,2004,11.4497432088167,28.6673014374357,5.7122597694397,12.01
BLR,Belarus,2005,9.40000151584914,28.4604661956657,5.8710298538208,7.21
BLR,Belarus,2006,9.99999473022963,32.1841371566982,6.07696008682251,8.63
BLR,Belarus,2007,8.60000659811426,34.0919031794272,5.15210008621216,7.45
BLR,Belarus,2009,0.199995231733979,36.8640444559238,4.3689398765564,-0.54
BLR,Belarus,2010,7.75001707500896,40.6563662623236,5.22003984451294,6.45
